source,target,haplotype_count,path_support_fraction,source_transition_agreement,consistency_score
n10418,n34097,36,1.0,1.0,1.0
n10418,n60090,36,1.0,1.0,1.0
n10419,n34696,36,1.0,1.0,1.0
n1042,n1,36,1.0,1.0,1.0
n1042,n21169,36,1.0,1.0,1.0
n1042,n2768,36,1.0,1.0,1.0
n1042,n52021,36,1.0,1.0,1.0
n1042,n52087,36,1.0,1.0,1.0
n10420,n34706,36,1.0,1.0,1.0
n10421,n60195,36,1.0,1.0,1.0
n10422,n60489,36,1.0,1.0,1.0
n10423,n31332,36,1.0,1.0,1.0
n10424,n43337,36,1.0,1.0,1.0
n10425,n35781,36,1.0,1.0,1.0
n10426,n64618,36,1.0,1.0,1.0
n10427,n60748,36,1.0,1.0,1.0
n10428,n50439,36,1.0,1.0,1.0
n10429,n60907,36,1.0,1.0,1.0
n1043,n53191,36,1.0,1.0,1.0
n10430,n31354,36,1.0,1.0,1.0
n10431,n62670,36,1.0,1.0,1.0
n10432,n61080,36,1.0,1.0,1.0
n10433,n69761,36,1.0,1.0,1.0
n10434,n72450,36,1.0,1.0,1.0
n10435,n4458,36,1.0,1.0,1.0
n10436,n35057,36,1.0,1.0,1.0
n10437,n39414,36,1.0,1.0,1.0
n10438,n31412,36,1.0,1.0,1.0
n10439,n10063,36,1.0,1.0,1.0
n1044,n66451,36,1.0,1.0,1.0
n10440,n31420,36,1.0,1.0,1.0
n10441,n62045,36,1.0,1.0,1.0
n10442,n40128,36,1.0,1.0,1.0
n10443,n40190,36,1.0,1.0,1.0
n10444,n31428,36,1.0,1.0,1.0
n10445,n35227,36,1.0,1.0,1.0
n10445,n35228,36,1.0,1.0,1.0
n10445,n40851,36,1.0,1.0,1.0
n10446,n31447,36,1.0,1.0,1.0
n10447,n35276,36,1.0,1.0,1.0
n10448,n62630,36,1.0,1.0,1.0
n10449,n1069,36,1.0,1.0,1.0
n1045,n6781,36,1.0,1.0,1.0
n10450,n23757,36,1.0,1.0,1.0
n10451,n31463,36,1.0,1.0,1.0
n10452,n31469,36,1.0,1.0,1.0
n10453,n31475,36,1.0,1.0,1.0
n10454,n27897,36,1.0,1.0,1.0
n10455,n21788,36,1.0,1.0,1.0
n10456,n63072,36,1.0,1.0,1.0
n10457,n29318,36,1.0,1.0,1.0
n10458,n34106,36,1.0,1.0,1.0
n10458,n34108,36,1.0,1.0,1.0
n10459,n35511,36,1.0,1.0,1.0
n1046,n21313,36,1.0,1.0,1.0
n1046,n7592,36,1.0,1.0,1.0
n10460,n33065,36,1.0,1.0,1.0
n10461,n44324,36,1.0,1.0,1.0
n10462,n35554,36,1.0,1.0,1.0
n10463,n33977,36,1.0,1.0,1.0
n10464,n35588,36,1.0,1.0,1.0
n10465,n71734,36,1.0,1.0,1.0
n10466,n31523,36,1.0,1.0,1.0
n10467,n31524,36,1.0,1.0,1.0
n10468,n1369,36,1.0,1.0,1.0
n10469,n31533,36,1.0,1.0,1.0
n1047,n7482,36,1.0,1.0,1.0
n10470,n35696,36,1.0,1.0,1.0
n10471,n35699,36,1.0,1.0,1.0
n10472,n31544,36,1.0,1.0,1.0
n10473,n42061,36,1.0,1.0,1.0
n10474,n42355,36,1.0,1.0,1.0
n10475,n33143,36,1.0,1.0,1.0
n10475,n33144,36,1.0,1.0,1.0
n10475,n44218,36,1.0,1.0,1.0
n10476,n64254,36,1.0,1.0,1.0
n10477,n35653,36,1.0,1.0,1.0
n10478,n35833,36,1.0,1.0,1.0
n10479,n31573,36,1.0,1.0,1.0
n10479,n45375,36,1.0,1.0,1.0
n1048,n66757,36,1.0,1.0,1.0
n10480,n35837,36,1.0,1.0,1.0
n10481,n39591,36,1.0,1.0,1.0
n10482,n47070,36,1.0,1.0,1.0
n10483,n31578,36,1.0,1.0,1.0
n10484,n64448,36,1.0,1.0,1.0
n10485,n47367,36,1.0,1.0,1.0
n10486,n31590,36,1.0,1.0,1.0
n10487,n50132,36,1.0,1.0,1.0
n10488,n64638,36,1.0,1.0,1.0
n10489,n35954,36,1.0,1.0,1.0
n1049,n66813,36,1.0,1.0,1.0
n10490,n51753,36,1.0,1.0,1.0
n10491,n35999,36,1.0,1.0,1.0
n10492,n64855,36,1.0,1.0,1.0
n10493,n1744,36,1.0,1.0,1.0
n10493,n31616,36,1.0,1.0,1.0
n10494,n64949,36,1.0,1.0,1.0
n10495,n65032,36,1.0,1.0,1.0
n10496,n36070,36,1.0,1.0,1.0
n10497,n56645,36,1.0,1.0,1.0
