source,target,haplotype_count,path_support_fraction,source_transition_agreement,consistency_score
n5872,n13187,4,1.0,1.0,1.0
n5873,n6826,4,1.0,1.0,1.0
n5874,n1141,4,1.0,1.0,1.0
n5875,n6835,4,1.0,1.0,1.0
n5876,n2042,4,1.0,1.0,1.0
n5877,n8544,4,1.0,1.0,1.0
n5878,n2218,4,1.0,1.0,1.0
n5879,n9176,4,1.0,1.0,1.0
n588,n34,4,1.0,1.0,1.0
n5880,n6861,3,0.75,1.0,0.875
n5881,n10749,4,1.0,1.0,1.0
n5882,n10403,4,1.0,1.0,1.0
n5883,n8268,4,1.0,1.0,1.0
n5884,n6868,3,0.75,1.0,0.875
n5885,n6869,4,1.0,1.0,1.0
n5886,n11221,4,1.0,1.0,1.0
n5887,n2995,3,0.75,1.0,0.875
n5888,n3093,3,0.75,1.0,0.875
n5889,n6879,3,0.75,1.0,0.875
n589,n8331,4,1.0,1.0,1.0
n5890,n6887,4,1.0,1.0,1.0
n5891,n3808,4,1.0,1.0,1.0
n5892,n6895,4,1.0,1.0,1.0
n5893,n13371,4,1.0,1.0,1.0
n5894,n6896,4,1.0,1.0,1.0
n5895,n13415,3,0.75,1.0,0.875
n5896,n4648,4,1.0,1.0,1.0
n5897,n6919,4,1.0,1.0,1.0
n5898,n6926,4,1.0,1.0,1.0
n5899,n13452,4,1.0,1.0,1.0
n59,n166,4,1.0,1.0,1.0
n590,n3073,4,1.0,1.0,1.0
n5900,n4350,4,1.0,1.0,1.0
n5901,n8785,4,1.0,1.0,1.0
n5902,n4598,3,0.75,1.0,0.875
n5903,n4832,4,1.0,1.0,1.0
n5904,n5446,4,1.0,1.0,1.0
n5905,n6943,4,1.0,1.0,1.0
n5906,n6945,4,1.0,1.0,1.0
n5907,n5677,4,1.0,1.0,1.0
n5908,n8926,3,0.75,1.0,0.875
n5909,n6956,4,1.0,1.0,1.0
n591,n2058,4,1.0,1.0,1.0
n5910,n9009,4,1.0,1.0,1.0
n5911,n13531,4,1.0,1.0,1.0
n5912,n7487,4,1.0,1.0,1.0
n5913,n13534,4,1.0,1.0,1.0
n5914,n9054,4,1.0,1.0,1.0
n5915,n6971,3,0.75,1.0,0.875
n5916,n6278,4,1.0,1.0,1.0
n5917,n13570,4,1.0,1.0,1.0
n5918,n6793,4,1.0,1.0,1.0
n5919,n6850,4,1.0,1.0,1.0
n592,n15527,4,1.0,1.0,1.0
n5920,n9257,3,0.75,1.0,0.875
n5921,n13620,3,0.75,1.0,0.875
n5922,n14813,4,1.0,1.0,1.0
n5922,n7005,4,1.0,1.0,1.0
n5923,n14180,4,1.0,1.0,1.0
n5924,n7497,4,1.0,1.0,1.0
n5925,n13636,4,1.0,1.0,1.0
n5926,n13649,4,1.0,1.0,1.0
n5927,n5110,4,1.0,1.0,1.0
n5928,n9481,4,1.0,1.0,1.0
n5929,n13670,3,0.75,1.0,0.875
n593,n4915,4,1.0,1.0,1.0
n5930,n2830,4,1.0,1.0,1.0
n5931,n9724,4,1.0,1.0,1.0
n5932,n9731,4,1.0,1.0,1.0
n5933,n7045,4,1.0,1.0,1.0
n5934,n7046,3,0.75,1.0,0.875
n5935,n7050,4,1.0,1.0,1.0
n5936,n8829,4,1.0,1.0,1.0
n5937,n7052,3,0.75,1.0,0.875
n5938,n6739,4,1.0,1.0,1.0
n5939,n8970,4,1.0,1.0,1.0
n594,n3320,4,1.0,1.0,1.0
n5940,n9002,3,0.75,1.0,0.875
n5941,n13758,4,1.0,1.0,1.0
n5942,n12228,4,1.0,1.0,1.0
n5943,n12893,4,1.0,1.0,1.0
